"subject_ID"	"Activity_label"	"variable"	"average"
"1"	1	"WALKING"	"tBodyAcc-std()-X"	-0.545795331328326
"2"	1	"WALKING"	"tBodyAcc-std()-Y"	-0.367716218227378
"3"	1	"WALKING"	"tBodyAcc-std()-Z"	-0.502645746562824
"4"	1	"WALKING"	"tGravityAcc-std()-X"	-0.959859435936599
"5"	1	"WALKING"	"tGravityAcc-std()-Y"	-0.951150627458213
"6"	1	"WALKING"	"tGravityAcc-std()-Z"	-0.925817590867435
"7"	1	"WALKING"	"tBodyAccJerk-std()-X"	-0.524721922818732
"8"	1	"WALKING"	"tBodyAccJerk-std()-Y"	-0.470412403511239
"9"	1	"WALKING"	"tBodyAccJerk-std()-Z"	-0.717322274881844
"10"	1	"WALKING"	"tBodyGyro-std()-X"	-0.686555715201729
"11"	1	"WALKING"	"tBodyGyro-std()-Y"	-0.450979810499568
"12"	1	"WALKING"	"tBodyGyro-std()-Z"	-0.597496136795101
"13"	1	"WALKING"	"tBodyGyroJerk-std()-X"	-0.637812687210375
"14"	1	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.634472244550432
"15"	1	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.664591977786455
"16"	1	"WALKING"	"tBodyAccMag-std()"	-0.497096402038329
"17"	1	"WALKING"	"tGravityAccMag-std()"	-0.497096402038329
"18"	1	"WALKING"	"tBodyAccJerkMag-std()"	-0.515922167555159
"19"	1	"WALKING"	"tBodyGyroMag-std()"	-0.499839593745821
"20"	1	"WALKING"	"tBodyGyroJerkMag-std()"	-0.652050770910663
"21"	1	"WALKING"	"fBodyAcc-std()-X"	-0.553060616663401
"22"	1	"WALKING"	"fBodyAcc-std()-Y"	-0.390150939647061
"23"	1	"WALKING"	"fBodyAcc-std()-Z"	-0.498583091676081
"24"	1	"WALKING"	"fBodyAccJerk-std()-X"	-0.543979776127867
"25"	1	"WALKING"	"fBodyAccJerk-std()-Y"	-0.466251676533372
"26"	1	"WALKING"	"fBodyAccJerk-std()-Z"	-0.737861932680115
"27"	1	"WALKING"	"fBodyGyro-std()-X"	-0.708263420861671
"28"	1	"WALKING"	"fBodyGyro-std()-Y"	-0.429825832648703
"29"	1	"WALKING"	"fBodyGyro-std()-Z"	-0.650476162132565
"30"	1	"WALKING"	"fBodyAccMag-std()"	-0.589710231217867
"31"	1	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.541823079570029
"32"	1	"WALKING"	"fBodyBodyGyroMag-std()"	-0.566576670397695
"33"	1	"WALKING"	"fBodyBodyGyroJerkMag-std()"	-0.685811262634006
"34"	2	"WALKING"	"tBodyAcc-std()-X"	-0.605586497159271
"35"	2	"WALKING"	"tBodyAcc-std()-Y"	-0.428962986589404
"36"	2	"WALKING"	"tBodyAcc-std()-Z"	-0.589360062210596
"37"	2	"WALKING"	"tGravityAcc-std()-X"	-0.963015508245033
"38"	2	"WALKING"	"tGravityAcc-std()-Y"	-0.960033560165563
"39"	2	"WALKING"	"tGravityAcc-std()-Z"	-0.945365383907285
"40"	2	"WALKING"	"tBodyAccJerk-std()-X"	-0.557809603123841
"41"	2	"WALKING"	"tBodyAccJerk-std()-Y"	-0.491875889831788
"42"	2	"WALKING"	"tBodyAccJerk-std()-Z"	-0.741885388311258
"43"	2	"WALKING"	"tBodyGyro-std()-X"	-0.710648927815894
"44"	2	"WALKING"	"tBodyGyro-std()-Y"	-0.722943674337748
"45"	2	"WALKING"	"tBodyGyro-std()-Z"	-0.634888927843046
"46"	2	"WALKING"	"tBodyGyroJerk-std()-X"	-0.671679103311258
"47"	2	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.783595466728477
"48"	2	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.674611933293046
"49"	2	"WALKING"	"tBodyAccMag-std()"	-0.552812545643709
"50"	2	"WALKING"	"tGravityAccMag-std()"	-0.552812545643709
"51"	2	"WALKING"	"tBodyAccJerkMag-std()"	-0.512115278415232
"52"	2	"WALKING"	"tBodyGyroMag-std()"	-0.680584887880795
"53"	2	"WALKING"	"tBodyGyroJerkMag-std()"	-0.740088733655629
"54"	2	"WALKING"	"fBodyAcc-std()-X"	-0.619788102803311
"55"	2	"WALKING"	"fBodyAcc-std()-Y"	-0.464723862913245
"56"	2	"WALKING"	"fBodyAcc-std()-Z"	-0.600678614835099
"57"	2	"WALKING"	"fBodyAccJerk-std()-X"	-0.595105612895033
"58"	2	"WALKING"	"fBodyAccJerk-std()-Y"	-0.509147543673841
"59"	2	"WALKING"	"fBodyAccJerk-std()-Z"	-0.767087015496689
"60"	2	"WALKING"	"fBodyGyro-std()-X"	-0.734588540182119
"61"	2	"WALKING"	"fBodyGyro-std()-Y"	-0.72716774102649
"62"	2	"WALKING"	"fBodyGyro-std()-Z"	-0.683114494539735
"63"	2	"WALKING"	"fBodyAccMag-std()"	-0.646662308457285
"64"	2	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.518800797709272
"65"	2	"WALKING"	"fBodyBodyGyroMag-std()"	-0.725310337688742
"66"	2	"WALKING"	"fBodyBodyGyroJerkMag-std()"	-0.744194981440397
"67"	3	"WALKING"	"tBodyAcc-std()-X"	-0.623413602046921
"68"	3	"WALKING"	"tBodyAcc-std()-Y"	-0.480015920697654
"69"	3	"WALKING"	"tBodyAcc-std()-Z"	-0.653625579293255
"70"	3	"WALKING"	"tGravityAcc-std()-X"	-0.966457565630499
"71"	3	"WALKING"	"tGravityAcc-std()-Y"	-0.9445645371261
"72"	3	"WALKING"	"tGravityAcc-std()-Z"	-0.926966278211144
"73"	3	"WALKING"	"tBodyAccJerk-std()-X"	-0.635484688041056
"74"	3	"WALKING"	"tBodyAccJerk-std()-Y"	-0.55721186773783
"75"	3	"WALKING"	"tBodyAccJerk-std()-Z"	-0.796066240234604
"76"	3	"WALKING"	"tBodyGyro-std()-X"	-0.699262195705865
"77"	3	"WALKING"	"tBodyGyro-std()-Y"	-0.76302218170088
"78"	3	"WALKING"	"tBodyGyro-std()-Z"	-0.709483440322581
"79"	3	"WALKING"	"tBodyGyroJerk-std()-X"	-0.689328428607038
"80"	3	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.842659862111437
"81"	3	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.743028500565982
"82"	3	"WALKING"	"tBodyAccMag-std()"	-0.591224780306452
"83"	3	"WALKING"	"tGravityAccMag-std()"	-0.591224780306452
"84"	3	"WALKING"	"tBodyAccJerkMag-std()"	-0.607658214170381
"85"	3	"WALKING"	"tBodyGyroMag-std()"	-0.674010290979472
"86"	3	"WALKING"	"tBodyGyroJerkMag-std()"	-0.80366136372434
"87"	3	"WALKING"	"fBodyAcc-std()-X"	-0.623805015199413
"88"	3	"WALKING"	"fBodyAcc-std()-Y"	-0.502753639795894
"89"	3	"WALKING"	"fBodyAcc-std()-Z"	-0.657443765803519
"90"	3	"WALKING"	"fBodyAccJerk-std()-X"	-0.657844055881525
"91"	3	"WALKING"	"fBodyAccJerk-std()-Y"	-0.559851186088408
"92"	3	"WALKING"	"fBodyAccJerk-std()-Z"	-0.81080601659824
"93"	3	"WALKING"	"fBodyGyro-std()-X"	-0.719276622702346
"94"	3	"WALKING"	"fBodyGyro-std()-Y"	-0.758505287214076
"95"	3	"WALKING"	"fBodyGyro-std()-Z"	-0.751008875659824
"96"	3	"WALKING"	"fBodyAccMag-std()"	-0.663079838985044
"97"	3	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.615643694857361
"98"	3	"WALKING"	"fBodyBodyGyroMag-std()"	-0.703839403007038
"99"	3	"WALKING"	"fBodyBodyGyroJerkMag-std()"	-0.810032718739003
"100"	4	"WALKING"	"tBodyAcc-std()-X"	-0.68386446609433
"101"	4	"WALKING"	"tBodyAcc-std()-Y"	-0.589609330539691
"102"	4	"WALKING"	"tBodyAcc-std()-Z"	-0.741959040257732
"103"	4	"WALKING"	"tGravityAcc-std()-X"	-0.967576704329897
"104"	4	"WALKING"	"tGravityAcc-std()-Y"	-0.94170652321134
"105"	4	"WALKING"	"tGravityAcc-std()-Z"	-0.936724233273196
"106"	4	"WALKING"	"tBodyAccJerk-std()-X"	-0.701066737438144
"107"	4	"WALKING"	"tBodyAccJerk-std()-Y"	-0.670976701376289
"108"	4	"WALKING"	"tBodyAccJerk-std()-Z"	-0.859502524793814
"109"	4	"WALKING"	"tBodyGyro-std()-X"	-0.750915960835052
"110"	4	"WALKING"	"tBodyGyro-std()-Y"	-0.828888294742268
"111"	4	"WALKING"	"tBodyGyro-std()-Z"	-0.745904225824742
"112"	4	"WALKING"	"tBodyGyroJerk-std()-X"	-0.778479585721649
"113"	4	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.911436316752577
"114"	4	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.790578254329897
"115"	4	"WALKING"	"tBodyAccMag-std()"	-0.670122122716495
"116"	4	"WALKING"	"tGravityAccMag-std()"	-0.670122122716495
"117"	4	"WALKING"	"tBodyAccJerkMag-std()"	-0.71024608685567
"118"	4	"WALKING"	"tBodyGyroMag-std()"	-0.749105473365979
"119"	4	"WALKING"	"tBodyGyroJerkMag-std()"	-0.870579517938144
"120"	4	"WALKING"	"fBodyAcc-std()-X"	-0.679316495457474
"121"	4	"WALKING"	"fBodyAcc-std()-Y"	-0.60587907902268
"122"	4	"WALKING"	"fBodyAcc-std()-Z"	-0.739920171907216
"123"	4	"WALKING"	"fBodyAccJerk-std()-X"	-0.710952957814433
"124"	4	"WALKING"	"fBodyAccJerk-std()-Y"	-0.679116699128866
"125"	4	"WALKING"	"fBodyAccJerk-std()-Z"	-0.872348615876289
"126"	4	"WALKING"	"fBodyGyro-std()-X"	-0.765931837365979
"127"	4	"WALKING"	"fBodyGyro-std()-Y"	-0.818105282886598
"128"	4	"WALKING"	"fBodyGyro-std()-Z"	-0.778863649278351
"129"	4	"WALKING"	"fBodyAccMag-std()"	-0.724979750463917
"130"	4	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.723261097164948
"131"	4	"WALKING"	"fBodyBodyGyroMag-std()"	-0.769330760360825
"132"	4	"WALKING"	"fBodyBodyGyroJerkMag-std()"	-0.884187806804124
"133"	4	"WALKING_UPSTAIRS"	"tBodyAcc-std()-X"	-0.481157815330894
"134"	4	"WALKING_UPSTAIRS"	"tBodyAcc-std()-Y"	-0.384255322007236
"135"	4	"WALKING_UPSTAIRS"	"tBodyAcc-std()-Z"	-0.658285719430894
"136"	4	"WALKING_UPSTAIRS"	"tGravityAcc-std()-X"	-0.954845868211382
"137"	4	"WALKING_UPSTAIRS"	"tGravityAcc-std()-Y"	-0.940959838617886
"138"	4	"WALKING_UPSTAIRS"	"tGravityAcc-std()-Z"	-0.948783616341463
"139"	4	"WALKING_UPSTAIRS"	"tBodyAccJerk-std()-X"	-0.522686832030976
"140"	4	"WALKING_UPSTAIRS"	"tBodyAccJerk-std()-Y"	-0.446980128646341
"141"	4	"WALKING_UPSTAIRS"	"tBodyAccJerk-std()-Z"	-0.817881987560976
"142"	4	"WALKING_UPSTAIRS"	"tBodyGyro-std()-X"	-0.623295736308943
"143"	4	"WALKING_UPSTAIRS"	"tBodyGyro-std()-Y"	-0.749889456666667
"144"	4	"WALKING_UPSTAIRS"	"tBodyGyro-std()-Z"	-0.695570737073171
"145"	4	"WALKING_UPSTAIRS"	"tBodyGyroJerk-std()-X"	-0.637528066829268
"146"	4	"WALKING_UPSTAIRS"	"tBodyGyroJerk-std()-Y"	-0.888412003333333
"147"	4	"WALKING_UPSTAIRS"	"tBodyGyroJerk-std()-Z"	-0.681795418349593
"148"	4	"WALKING_UPSTAIRS"	"tBodyAccMag-std()"	-0.50629736504065
"149"	4	"WALKING_UPSTAIRS"	"tGravityAccMag-std()"	-0.50629736504065
"150"	4	"WALKING_UPSTAIRS"	"tBodyAccJerkMag-std()"	-0.547890232756098
"151"	4	"WALKING_UPSTAIRS"	"tBodyGyroMag-std()"	-0.639915777398374
"152"	4	"WALKING_UPSTAIRS"	"tBodyGyroJerkMag-std()"	-0.802559941951219
"153"	4	"WALKING_UPSTAIRS"	"fBodyAcc-std()-X"	-0.468588371045528
"154"	4	"WALKING_UPSTAIRS"	"fBodyAcc-std()-Y"	-0.422334649479756
"155"	4	"WALKING_UPSTAIRS"	"fBodyAcc-std()-Z"	-0.659623483821138
"156"	4	"WALKING_UPSTAIRS"	"fBodyAccJerk-std()-X"	-0.540002452644715
"157"	4	"WALKING_UPSTAIRS"	"fBodyAccJerk-std()-Y"	-0.459377588636585
"158"	4	"WALKING_UPSTAIRS"	"fBodyAccJerk-std()-Z"	-0.841927060081301
"159"	4	"WALKING_UPSTAIRS"	"fBodyGyro-std()-X"	-0.652062731170732
"160"	4	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Y"	-0.727336206422764
"161"	4	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Z"	-0.748519078617886
"162"	4	"WALKING_UPSTAIRS"	"fBodyAccMag-std()"	-0.590882542479675
"163"	4	"WALKING_UPSTAIRS"	"fBodyBodyAccJerkMag-std()"	-0.576991683357724
"164"	4	"WALKING_UPSTAIRS"	"fBodyBodyGyroMag-std()"	-0.674631635121951
"165"	4	"WALKING_UPSTAIRS"	"fBodyBodyGyroJerkMag-std()"	-0.829831474634146
"166"	5	"WALKING"	"tBodyAcc-std()-X"	-0.507691011391722
"167"	5	"WALKING"	"tBodyAcc-std()-Y"	-0.402724906078146
"168"	5	"WALKING"	"tBodyAcc-std()-Z"	-0.646443640175497
"169"	5	"WALKING"	"tGravityAcc-std()-X"	-0.964629108807947
"170"	5	"WALKING"	"tGravityAcc-std()-Y"	-0.939973777950331
"171"	5	"WALKING"	"tGravityAcc-std()-Z"	-0.94207867884106
"172"	5	"WALKING"	"tBodyAccJerk-std()-X"	-0.575890535679801
"173"	5	"WALKING"	"tBodyAccJerk-std()-Y"	-0.506544358609603
"174"	5	"WALKING"	"tBodyAccJerk-std()-Z"	-0.78456199486755
"175"	5	"WALKING"	"tBodyGyro-std()-X"	-0.709955676983444
"176"	5	"WALKING"	"tBodyGyro-std()-Y"	-0.705638306688742
"177"	5	"WALKING"	"tBodyGyro-std()-Z"	-0.606589817380795
"178"	5	"WALKING"	"tBodyGyroJerk-std()-X"	-0.662581310334437
"179"	5	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.774114270364238
"180"	5	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.564680771249007
"181"	5	"WALKING"	"tBodyAccMag-std()"	-0.52162345171192
"182"	5	"WALKING"	"tGravityAccMag-std()"	-0.52162345171192
"183"	5	"WALKING"	"tBodyAccJerkMag-std()"	-0.589031268133113
"184"	5	"WALKING"	"tBodyGyroMag-std()"	-0.664078383532781
"185"	5	"WALKING"	"tBodyGyroJerkMag-std()"	-0.734187493344371
"186"	5	"WALKING"	"fBodyAcc-std()-X"	-0.492829885748675
"187"	5	"WALKING"	"fBodyAcc-std()-Y"	-0.422162171100331
"188"	5	"WALKING"	"fBodyAcc-std()-Z"	-0.649351210748344
"189"	5	"WALKING"	"fBodyAccJerk-std()-X"	-0.584013626983444
"190"	5	"WALKING"	"fBodyAccJerk-std()-Y"	-0.491500434303907
"191"	5	"WALKING"	"fBodyAccJerk-std()-Z"	-0.798835563807947
"192"	5	"WALKING"	"fBodyGyro-std()-X"	-0.73573857718543
"193"	5	"WALKING"	"fBodyGyro-std()-Y"	-0.702290390960265
"194"	5	"WALKING"	"fBodyGyro-std()-Z"	-0.669353687483444
"195"	5	"WALKING"	"fBodyAccMag-std()"	-0.594259529756954
"196"	5	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.613485123609272
"197"	5	"WALKING"	"fBodyBodyGyroMag-std()"	-0.715731148145695
